dB,FiringRate,condition
80,47.61904762,ly6
75,57.14285714,ly6
70,71.42857143,ly6
65,100,ly6
60,104.7619048,ly6
55,104.7619048,ly6
50,104.7619048,ly6
45,104.7619048,ly6
40,71.42857143,ly6
35,85.71428571,ly6
30,57.14285714,ly6
25,47.61904762,ly6
20,28.57142857,ly6
15,9.523809524,ly6
10,14.28571429,ly6
5,14.28571429,ly6
0,19.04761905,ly6
80,52.38095238,ly8
75,61.9047619,ly8
70,85.71428571,ly8
65,100,ly8
60,100,ly8
55,104.7619048,ly8
50,109.5238095,ly8
45,109.5238095,ly8
40,85.71428571,ly8
35,85.71428571,ly8
30,71.42857143,ly8
25,42.85714286,ly8
20,38.0952381,ly8
15,19.04761905,ly8
10,28.57142857,ly8
5,14.28571429,ly8
0,19.04761905,ly8
